zotero_key,pub_date,emission_title,Date,Item Type,Title,Guest,Publication Title,Url,hashtag,Publisher,twitch_id
6GAJPI3I,,,2022-03-27,tvBroadcast,ADN INA : Hidalgo,"Hidalgo, Anne",ADN INA,,,INA,
LY867F3U,,,2022-03-08,tvBroadcast,Bonjour Chez vous : Arthaud,"Arthaud, Nathalie",Bonjour Chez vous,,#Arthaud #BonjourChezVous #BCVO,Public Sénat,
WBFPVW36,,,2022-03-08,tvBroadcast,Bonjour Chez vous : Lassalle,"Lassalle, Jean",Bonjour Chez vous,,#BonjourChezVous #BCVO #JeanLassalle2022 #LaFranceAuthentique,Public Sénat,
HYUDPG33,,,2022-03-09,tvBroadcast,Bonjour Chez vous : Dupont-Aignan,"Dupont-Aignan, Nicolas",Bonjour Chez vous,,#BonjourChezVous #BCVO #2022NDA,Public Sénat,
48CGQQ6G,,,2022-03-21,tvBroadcast,C à vous : Arthaud,"Arthaud, Nathalie",C à vous,,,France 5,
GX2FNMPU,,,2022-03-05,tvBroadcast,Carnets de campagne - l'invité : Dupont-Aignan,"Dupont-Aignan, Nicolas",Carnets de campagne - l'invité,,,TF1,
AMCQD4FP,,,2022-03-23,tvBroadcast,Carnets de campagne - l'invité : Mélenchon,"Mélenchon, Jean-Luc",Carnets de campagne - l'invité,,#MelenchonTF1|#Le20h|#Melenchon2022,TF1,
278T7QQ6,,,2022-03-24,tvBroadcast,Carnets de campagne - l'invité : Le Pen,"Le Pen, Marine",Carnets de campagne - l'invité,,#Le20h|#MLP2022|#MlaFrance|#MarinePresidente|#carnetdecampagne,TF1,
G355AF58,,,2022-03-27,tvBroadcast,Dimanche en politique : Macron,"Macron, Emmanuel",Dimanche en politique,,#ProjetMacron #MacronFrance3 #DimPol #avecvous,France 3 (12h30),
LMQQNLGY,,,2021-12-19,tvBroadcast,Elysée 2022 : Zemmour,"Zemmour, Eric",Elysée 2022,,,France 2,
UEU6RC6U,,,2022-02-10,tvBroadcast,Elysée 2022 : Mélenchon,"Mélenchon, Jean-Luc",Elysée 2022,,#Elysee2022,France 2,
H9B334CS,,,2022-02-17,tvBroadcast,Elysée 2022 : Jadot,"Jadot, Yannick",Elysée 2022,,#Elysée2022||#Elysee2022|#Jadot2022|#Changeons|#Jadot,France 2,
CYUM9NK8,,,2022-03-03,tvBroadcast,Elysée 2022 : Le Pen,"Le Pen, Marine",Elysée 2022,,|#Elysée2022||#Elysee2022|#presidentielle2022|#MarinePresidente|#LePen|#MLaFrance,France 2,
CE3MV98U,,,2022-03-17,tvBroadcast,"Elysée 2022 : (multiple) Hidalgo, Dupont-Aignan, Zemmour, Jadot","Hidalgo, Anne; Dupont-Aignan, Nicolas; Zemmour, Eric; Jadot, Yannick",Elysée 2022,,#Elysée2022|#Hidalgo2022|#ZemmourPresident|#2022NDA,France 2,
